START
,Fresh fruit (A-N),,
,Sonnenblumenkerne,y,6  g,x,-,-,-,
,Walnüsse ,y,30  g,x,-,-,-,
,Vegetarian substitutes,,
,"Mince, quorn",g,Free use,-,-,-,-,
,"Tofu, firm, drained",g,Free use,-,-,-,-,
,"Tofu, plain",g,Free use,-,-,-,-,
,Falafel,r,0  g,x,-,-,-,
,Lentil burger,r,0  g,x,-,-,-,
,"Tofu, Seiden-",r,0  g,x,-,-,-,
,"Tempeh, plain",y,100  g,x,-,-,-,
,Pulses & Legumes,,
,"Chana dal / Chana dahl, boiled",g,Free use,-,-,-,-,
,"Lentils, canned",g,Free use,-,-,-,-,
,"Urid dal / Urid dahl, boiled",g,Free use,-,-,-,-,
,Baked beans,r,0  g,x,x,-,-,
,"Black beans, boiled",r,0  g,x,-,-,-,
,"Black beans, canned",r,0  g,x,-,-,-,
,"Borlotti beans, canned",r,0  g,x,-,-,-,
,Broad beans,r,0  g,-,x,-,-,x
,Fava beans,r,0  g,-,x,-,-,
,"Haricot beans, boiled",r,0  g,x,-,-,-,
,"Navy beans, boiled",r,0  g,x,-,-,-,
,"Red kidney beans, boiled",r,0  g,x,-,-,-,x
,"Soya beans, boiled",r,0  g,x,-,-,-,
,"Split peas, boiled",r,0  g,x,-,-,-,
,"Butter beans, canned",y,35  g,x,-,-,-,
,"Chickpeas, canned",y,42  g,x,-,-,-,
,"Garbanzo beans, canned",y,42  g,x,-,-,-,
,"Lentils, green, boiled",y,23  g,x,-,-,-,
,"Lentils, red, boiled",y,23  g,x,-,-,-,
,"Lima beans, boiled",y,39  g,x,-,-,-,
,"Mung beans, boiled",y,53  g,x,-,-,-,
,Sugars & Sweeteners,,
,Jaggery,g,Free use,-,-,-,-,
,"Stevia, Pulver",g,Free use,-,-,-,-,
,"Zucker, braum",g,Free use,-,-,-,-,x
,"Sugar, palm",g,Free use,-,-,-,-,
,"Sugar, raw",g,Free use,-,-,-,-,
,"Sugar, white",g,Free use,-,-,-,-,
,Ahornsirup,g,Free use,-,-,-,-,
,Reissirup,g,Free use,-,-,-,-,
,Honig,r,0  g,-,x,-,-,
,Agavensirup,r,0  g,x,x,-,-,
,"Syrup, agave, light",r,0  g,-,x,-,-,
,"Syrup, golden",y,7  g,x,-,-,-,
,"Treacle, coconut",y,14  g,x,-,-,-,
,Fresh Vegetables (A-E),,
,Alfalfa,g,Free use,-,-,-,-,
,Arigula,g,Free use,-,-,-,-,
,Bambussprossen frisch,g,Free use,-,-,-,-,
,Bean sprouts,g,Free use,-,-,-,-,
